NAME,STATE,ANNUAL
Brasiléia,ACRE,4620
Epitaciolândia,ACRE,4620
Assis Brasil,ACRE,4615
Xapuri,ACRE,4607
Capixaba,ACRE,4542
Plácido de Castro,ACRE,4523
Senador Guiomard,ACRE,4558
Acrelândia,ACRE,4515
Rio Branco,ACRE,4560
Bujari,ACRE,4567
Porto Acre,ACRE,4547
Santa Rosa do Purus,ACRE,4591
Jordão,ACRE,4640
Sena Madureira,ACRE,4539
Marechal Thaumaturgo,ACRE,4705
Manoel Urbano,ACRE,4555
Porto Walter,ACRE,4731
Tarauacá,ACRE,4602
Feijó,ACRE,4557
Rodrigues Alves,ACRE,4680
Mâncio Lima,ACRE,4703
Cruzeiro do Sul,ACRE,4663
Piaçabuçu,ALAGOAS,5441
Penedo,ALAGOAS,5338
Feliz Deserto,ALAGOAS,5439
Porto Real do Colégio,ALAGOAS,5434
São Brás,ALAGOAS,5399
Olho d'Água Grande,ALAGOAS,5321
Igreja Nova,ALAGOAS,5265
Coruripe,ALAGOAS,5462
Traipu,ALAGOAS,5463
Campo Grande,ALAGOAS,5252
Jequiá da Praia,ALAGOAS,5455
Girau do Ponciano,ALAGOAS,5290
Feira Grande,ALAGOAS,5246
São Sebastião,ALAGOAS,5258
Junqueiro,ALAGOAS,5237
Teotônio Vilela,ALAGOAS,5230
Belo Monte,ALAGOAS,5374
Lagoa da Canoa,ALAGOAS,5316
Arapiraca,ALAGOAS,5288
Campo Alegre,ALAGOAS,5238
São Miguel dos Campos,ALAGOAS,5319
Barra de São Miguel,ALAGOAS,5398
Roteiro,ALAGOAS,5398
Pão de Açúcar,ALAGOAS,5447
Palestina,ALAGOAS,5341
Batalha,ALAGOAS,5309
Jaramataia,ALAGOAS,5269
Limoeiro de Anadia,ALAGOAS,5290
Anadia,ALAGOAS,5234
Marechal Deodoro,ALAGOAS,5451
Maceió,ALAGOAS,5523
Piranhas,ALAGOAS,5469
São José da Tapera,ALAGOAS,5405
Jacaré dos Homens,ALAGOAS,5360
Monteirópolis,ALAGOAS,5360
Craíbas,ALAGOAS,5389
Coité do Nóia,ALAGOAS,5339
Belém,ALAGOAS,5247
Taquarana,ALAGOAS,5247
Maribondo,ALAGOAS,5233
Boca da Mata,ALAGOAS,5147
Pilar,ALAGOAS,5307
Satuba,ALAGOAS,5360
Santa Luzia do Norte,ALAGOAS,5360
Coqueiro Seco,ALAGOAS,5360
Olho d'Água do Casado,ALAGOAS,5484
Senador Rui Palmeira,ALAGOAS,5423
Carneiros,ALAGOAS,5434
Olho d'Água das Flores,ALAGOAS,5415
Olivença,ALAGOAS,5384
Major Isidoro,ALAGOAS,5361
Igaci,ALAGOAS,5364
Tanque d'Arca,ALAGOAS,5285
Pindoba,ALAGOAS,5143
Atalaia,ALAGOAS,5212
Rio Largo,ALAGOAS,5243
Paripueira,ALAGOAS,5546
Delmiro Gouveia,ALAGOAS,5467
Santana do Ipanema,ALAGOAS,5462
Dois Riachos,ALAGOAS,5415
Cacimbinhas,ALAGOAS,5381
Estrela de Alagoas,ALAGOAS,5447
Palmeira dos Índios,ALAGOAS,5384
Mar Vermelho,ALAGOAS,5234
Paulo Jacinto,ALAGOAS,5234
Viçosa,ALAGOAS,5193
Cajueiro,ALAGOAS,5109
Capela,ALAGOAS,5153
Messias,ALAGOAS,5219
Barra de Santo Antônio,ALAGOAS,5434
